"Iteration","Pressure Drop 1 Monitor: Pressure Drop 1 Monitor (Pa)"
1.0,223.96845029177803
2.0,151.323631965599
3.0,89.00467894885838
4.0,48.77356447431197
5.0,29.385840092584736
6.0,21.492477660457226
7.0,17.19286958605361
8.0,11.254430449263662
9.0,8.990269907398162
10.0,8.045229056853943
11.0,7.584458418043834
12.0,7.6512587152588285
13.0,7.987235268218711
14.0,8.543862037585255
15.0,9.172845049901628
16.0,9.801750331200386
17.0,10.354303031428095
18.0,10.813160996971904
19.0,11.120898705670019
20.0,11.314479598642766
21.0,11.388905832164573
22.0,11.377736782899815
23.0,11.28740973248167
24.0,11.146706578725892
25.0,10.975669100866147
26.0,10.770871546442175
27.0,10.589910346760876
28.0,10.518401723280997
29.0,10.41759399261417
30.0,10.349270116408247
31.0,10.311118172119144
32.0,10.2986929938253
33.0,10.305827713082019
34.0,10.32502666056934
35.0,10.353305460120321
36.0,10.380206538298923
37.0,10.400186035344793
38.0,10.416954020523631
39.0,10.424236961997073
40.0,10.422381026023519
41.0,10.400541491995773
42.0,10.373438546055795
43.0,10.337428793242932
44.0,10.303464250467771
45.0,10.273924480889166
46.0,10.25054876699333
47.0,10.233716907528276
48.0,10.22231163638933
49.0,10.210220843532676
50.0,10.199153106695103
51.0,10.187138767793423
52.0,10.176855150197108
53.0,10.159431769322934
54.0,10.135707427438783
55.0,10.106679449638087
56.0,10.075837326863743
57.0,10.036703078767058
58.0,9.997851215410222
59.0,9.95974346825305
60.0,9.92290674916205
61.0,9.887853447523682
62.0,9.855404256122814
63.0,9.824959606053042
64.0,9.79516647296871
65.0,9.765421555000506
66.0,9.738028841904942
67.0,9.711103060539472
68.0,9.682868856001454
69.0,9.655021515809972
70.0,9.628762454226576
71.0,9.601378958518978
72.0,9.574254406343362
73.0,9.549162800989963
74.0,9.524868481963434
75.0,9.500594008190948
76.0,9.47836453351591
77.0,9.456194507973095
78.0,9.432660990751417
79.0,9.409709605973502
80.0,9.38684496133716
81.0,9.362454944890048
82.0,9.340674788060895
83.0,9.317284388585227
84.0,9.29207217422738
85.0,9.263908205269868
86.0,9.232620748994055
87.0,9.200546915703832
88.0,9.168123624827377
89.0,9.129560309270026
90.0,9.095956623135013
91.0,9.06893627870989
92.0,9.04900555790676
93.0,9.036142140025955
94.0,9.030435007301705
95.0,9.033158468570457
96.0,9.040781839930762
97.0,9.043670248495207
98.0,9.049809645162368
99.0,9.057333558010875
100.0,9.064710034585868
101.0,9.071138112060067
102.0,9.07485258415534
103.0,9.073734318374415
104.0,9.066975277485948
105.0,9.054932708727431
106.0,9.037100929060733
107.0,9.013498888864675
108.0,8.9853878710048
109.0,8.95470326023759
110.0,8.923234459095587
111.0,8.893026915062135
112.0,8.866550131887031
113.0,8.845346237576033
114.0,8.829758077959944
115.0,8.819726092453875
116.0,8.815024639103555
117.0,8.815074165013414
118.0,8.819011180067553
119.0,8.82498819728251
120.0,8.831369048011908
121.0,8.83611576835617
122.0,8.838003596428466
123.0,8.836136469966275
124.0,8.830261634665662
125.0,8.820517707636325
126.0,8.80757996069129
127.0,8.792014822309483
128.0,8.774670042657684
129.0,8.756554424578214
130.0,8.739211139458318
131.0,8.723669615780334
132.0,8.710542366195641
133.0,8.700540057636092
134.0,8.694107925249329
135.0,8.69109937008955
136.0,8.690939109717732
137.0,8.692793480039558
138.0,8.696115865311382
139.0,8.700095385196173
140.0,8.703712434155866
141.0,8.706246783134866
142.0,8.707351367831636
143.0,8.706706170651167
144.0,8.704108441930893
145.0,8.699841735454182
146.0,8.694074199366563
147.0,8.686822934562363
148.0,8.678646823316894
149.0,8.670455274730685
150.0,8.662648581399099
151.0,8.655543669160117
152.0,8.649467903237623
153.0,8.64467916316819
154.0,8.641068159833159
155.0,8.63856239709807
156.0,8.637085750797006
157.0,8.636734529976732
158.0,8.63706167930616
159.0,8.63734360040372
160.0,8.637457047816456
161.0,8.6372631630369
162.0,8.636594807901167
163.0,8.635409184865534
164.0,8.633720541468199
165.0,8.63162333333559
166.0,8.629172543916408
167.0,8.626452216374748
168.0,8.623615822805874
169.0,8.620814582895823
170.0,8.618173144412347
171.0,8.615800077344101
172.0,8.613771530817147
173.0,8.612080110120287
174.0,8.610717799239346
175.0,8.609670370378922
176.0,8.608941040221891
177.0,8.608513004395052
178.0,8.608224836729882
179.0,8.607925588244104
180.0,8.60756919557875
181.0,8.607106148148226
182.0,8.606511233354727
183.0,8.605775413935378
184.0,8.604906482401269
185.0,8.603916077751366
186.0,8.602831862075044
187.0,8.601673554302419
188.0,8.600520644772269
189.0,8.599416430951255
190.0,8.598410915796975
191.0,8.597530246013546
192.0,8.596783656891274
193.0,8.596174928341654
194.0,8.595705152565412
195.0,8.595407118550149
196.0,8.595256083456349
197.0,8.59518230577297
198.0,8.595124506531414
199.0,8.59506438160763
200.0,8.594968430626782
201.0,8.594814035866674
202.0,8.594580703167175
203.0,8.594267215570945
204.0,8.59388101906717
205.0,8.593416978159885
206.0,8.592900407825171
207.0,8.592359473060654
208.0,8.591820805099077
