"Iteration","WSS_y Monitor: WSS_y Monitor (N)"
190.0,-0.017011302770234063
191.0,-0.017028729470731734
192.0,-0.017046106183662233
193.0,-0.01706438299813066
194.0,-0.017082314140056985
195.0,-0.0171008646840013
196.0,-0.01711983119996835
197.0,-0.017138543322126602
198.0,-0.017157990649942962
199.0,-0.01717710913866343
200.0,-0.01719691753155152
201.0,-0.017216351016829293
202.0,-0.017236544838266737
203.0,-0.017256201242999175
204.0,-0.017276230937566063
205.0,-0.01729661546029929
206.0,-0.017316485456975887
207.0,-0.017336664571385822
208.0,-0.01735718463964726
209.0,-0.017377113927093527
210.0,-0.01739729262675553
211.0,-0.017417682464603054
212.0,-0.017437523026671054
213.0,-0.01745753540682084
214.0,-0.017477709981554262
215.0,-0.01749733021190937
216.0,-0.01751719033432935
217.0,-0.017536713317068242
218.0,-0.017556420978397165
219.0,-0.017575647522444216
220.0,-0.017594850887003813
221.0,-0.017614155418596237
222.0,-0.01763290433925745
223.0,-0.017651676260922677
224.0,-0.017670501181076024
225.0,-0.017688755376280632
226.0,-0.017706999646783666
227.0,-0.01772526012261115
228.0,-0.01774296846748806
229.0,-0.01776064804545827
230.0,-0.01777824394204882
231.0,-0.017795451414361018
232.0,-0.017812520157671718
233.0,-0.01782940245552561
234.0,-0.017846218096538205
235.0,-0.017862574656055126
236.0,-0.017878860662444367
237.0,-0.017894924892211252
238.0,-0.017910786960590574
239.0,-0.017926439899503495
240.0,-0.01794188891155326
241.0,-0.017957129889907494
242.0,-0.017972163313290292
243.0,-0.017986988163080066
244.0,-0.018001604825476993
245.0,-0.018016013817097352
246.0,-0.018030216102513562
247.0,-0.018044212764233628
248.0,-0.01805800503364737
249.0,-0.01807159410335643
250.0,-0.01808498123602267
251.0,-0.018098167828891013
252.0,-0.018111155420804305
253.0,-0.018123945672784504
254.0,-0.01813654023094075
255.0,-0.018148940878981574
256.0,-0.01816114914508185
257.0,-0.018173166789830292
258.0,-0.018184995504787253
259.0,-0.01819663704274775
260.0,-0.018208093123780193
261.0,-0.018219365491116392
262.0,-0.018230455954328855
263.0,-0.01824136638405947
264.0,-0.018252098721828935
265.0,-0.01826265496122632
266.0,-0.01827303699475099
