"Iteration","Pressure Drop 1 Monitor: Pressure Drop 1 Monitor (Pa)"
1.0,36.72219446032746
2.0,35.61016174221339
3.0,36.78364722728517
4.0,33.98294544769131
5.0,23.11957199514275
6.0,19.02616200800548
7.0,11.746616081426154
8.0,10.178494537597187
9.0,8.694488566499583
10.0,8.061044066498786
11.0,7.771078160439675
12.0,7.738546821882707
13.0,7.91752986614552
14.0,8.680036538257342
15.0,9.42904581214416
16.0,10.08898163802609
17.0,10.263737088136192
18.0,10.61070570104711
19.0,10.684266872225349
20.0,10.78622678460438
21.0,10.768025830287643
22.0,10.709684349653775
23.0,10.589443021567565
24.0,10.499390832397937
25.0,10.340421998765265
26.0,10.257390973361098
27.0,10.177981648961836
28.0,10.106953603113029
29.0,10.044730013826841
30.0,9.991617016197491
31.0,9.96246480378096
32.0,9.954347904139357
33.0,9.963219820080983
34.0,9.985475460981661
35.0,10.187422355120786
36.0,10.19401645314163
37.0,10.165734433930599
38.0,10.139030406661266
39.0,10.09987066279648
40.0,10.059767015160478
41.0,10.017323201983407
42.0,9.970498597189248
43.0,9.934796392950787
44.0,9.902186970334835
45.0,9.874555982436236
46.0,9.852495709805043
47.0,9.835092626259188
48.0,9.822470926956889
49.0,9.814659704140897
50.0,9.811513037335626
51.0,9.811995888920908
52.0,9.815718107464663
53.0,9.820965626621042
54.0,9.826964950476373
55.0,9.832897115234136
56.0,9.838048904843774
57.0,9.84194476446763
58.0,9.844444119221262
59.0,9.845555645302852
60.0,9.845399438597527
61.0,9.84402484718286
62.0,9.841654882267422
63.0,9.838572910441272
64.0,9.834907577394818
65.0,9.830902988243162
66.0,9.826818823129935
67.0,9.822901435196025
68.0,9.819580273827032
69.0,9.81704460733092
70.0,9.815360805017072
71.0,9.814432518950381
72.0,9.814159045966921
73.0,9.814418435154
74.0,9.815068705965235
75.0,9.815968805330856
76.0,9.81701180674509
77.0,9.818129611991216
78.0,9.822644336540382
79.0,9.822582767459318
80.0,9.822492478274112
