"Iteration","WSS_y Monitor: WSS_y Monitor (N)"
1.0,6.667165186680341E-4
2.0,-0.03359300386832143
3.0,-0.024602513105618697
4.0,-0.019561008299600658
5.0,-0.021803422350234167
6.0,-0.021627725993987743
7.0,-0.022320062522855975
8.0,-0.02266539758780683
9.0,-0.02311942182908694
10.0,-0.023621813382755687
11.0,-0.024253163312094594
12.0,-0.02477045906125619
13.0,-0.025090379277745448
14.0,-0.025393046274023796
15.0,-0.025616423349767745
16.0,-0.025761481806661667
17.0,-0.02581461821927554
18.0,-0.025790427751143114
19.0,-0.025661799951436876
20.0,-0.025430997929950665
21.0,-0.02521293529776517
22.0,-0.024894701320040416
23.0,-0.024567543558361032
24.0,-0.02420095646535517
25.0,-0.023800655518318437
26.0,-0.023373655473107473
27.0,-0.02291718667086985
28.0,-0.02243742693734915
29.0,-0.02194040560602003
30.0,-0.021424766882325783
31.0,-0.02089816938399917
32.0,-0.020355150827515524
33.0,-0.019803310765836326
34.0,-0.019248270357933205
35.0,-0.01869473550727662
36.0,-0.018140551377819832
37.0,-0.017597289177002012
38.0,-0.01705756003264384
39.0,-0.01653529555643421
40.0,-0.01603159851434412
41.0,-0.015549560474792997
42.0,-0.01508802925640571
43.0,-0.014642739820189278
44.0,-0.014224164679089862
45.0,-0.013827951300633084
46.0,-0.013452482842549055
47.0,-0.013098464919596705
48.0,-0.012767286925294836
49.0,-0.012457302142870372
50.0,-0.012165255479869479
51.0,-0.011892709747991996
52.0,-0.011639690924472763
53.0,-0.011402862978700523
54.0,-0.011183554723231034
55.0,-0.010980492538776218
56.0,-0.01079321930676894
57.0,-0.01062179025804899
58.0,-0.010465745017627127
59.0,-0.010324663242894567
60.0,-0.010199059716190386
61.0,-0.010086096529420704
62.0,-0.009987905604702798
63.0,-0.009900498289890746
64.0,-0.009826140889011695
65.0,-0.009766084036444396
66.0,-0.009716663683247865
67.0,-0.009679505940740997
68.0,-0.009653132310951832
69.0,-0.009635443137945022
70.0,-0.00962935084993409
71.0,-0.009630888059163496
72.0,-0.00963956127089565
73.0,-0.009656779402138016
74.0,-0.009680111997364108
75.0,-0.009709144644776745
76.0,-0.009743438658928733
77.0,-0.009781599046641706
78.0,-0.009823783160699024
79.0,-0.009868765805572492
80.0,-0.009917219815597565
81.0,-0.009968061782273724
82.0,-0.01002134498414648
83.0,-0.01007653135982651
84.0,-0.010132904510081272
85.0,-0.01019042138750095
86.0,-0.0102488154930937
87.0,-0.010307804729233623
88.0,-0.010367116446010865
89.0,-0.01042657770555022
90.0,-0.010486180260854634
91.0,-0.01054585753291133
92.0,-0.010604958093168613
93.0,-0.010663808676323393
94.0,-0.010722088125042302
95.0,-0.010779693974008171
96.0,-0.010836842797900235
97.0,-0.010892682655158711
98.0,-0.010947984826965367
99.0,-0.011002677290643918
100.0,-0.01105671720018966
101.0,-0.011110102073052238
102.0,-0.011163201824482542
103.0,-0.011215313587054947
104.0,-0.01126662009641389
105.0,-0.011317299079703493
106.0,-0.011367075504366336
107.0,-0.01141583342187071
108.0,-0.011464128926055629
109.0,-0.01151143247439672
110.0,-0.011557828558945242
111.0,-0.01160315506495371
112.0,-0.011647566895757739
113.0,-0.011691046433482831
114.0,-0.011733481287708025
115.0,-0.011774970385960263
116.0,-0.011815480132454955
117.0,-0.01185515695746946
118.0,-0.011893707586771064
119.0,-0.01193154407938348
120.0,-0.011967787733253622
121.0,-0.012004526881364195
