"Iteration","Pressure Drop 1 Monitor: Pressure Drop 1 Monitor (Pa)"
1.0,36.72219446032746
2.0,37.54543873707145
3.0,39.3408977591925
4.0,36.61654936684607
5.0,26.564837588138797
6.0,23.911097982013807
7.0,18.65767427402676
8.0,17.352188475332824
9.0,16.422375868351494
10.0,16.03489498994128
11.0,15.876698907488947
12.0,16.003085451158398
13.0,16.379982877115626
14.0,16.61418908761536
15.0,17.584586216996374
16.0,17.800702189776292
17.0,17.872154202115148
18.0,17.98775446513948
19.0,17.992156026232067
20.0,17.982012351193696
21.0,17.948488127260923
22.0,17.869386489107335
23.0,17.793044038601685
24.0,17.74850479169379
25.0,17.707544701857472
26.0,17.675521345447024
27.0,17.650000242891025
28.0,17.644168264152746
29.0,17.648680904514066
30.0,17.656593801047798
31.0,17.66223508441544
32.0,17.66298758126493
33.0,17.65851951496009
34.0,17.646153935263058
35.0,17.634011931433086
36.0,17.62153236919511
37.0,17.609659916996904
38.0,17.599032387377846
39.0,17.590387265923265
40.0,17.582257029571288
41.0,17.57582695296264
42.0,17.569954529205383
43.0,17.565152959272574
44.0,17.561384051439433
45.0,17.558553432585377
46.0,17.55654689458725
47.0,17.55529002969393
48.0,17.55459875058893
49.0,17.554317493863287
50.0,17.554296462271456
51.0,17.55442493202404
52.0,17.554597451804035
53.0,17.554771836488694
54.0,17.55495317082722
55.0,17.555146740214305
56.0,17.55534413859408
57.0,17.555535159646112
58.0,17.555716689470756
59.0,17.555892687155044
60.0,17.556069363562493
61.0,17.556115005062473
62.0,17.55636008372343
63.0,17.55660297876429
