"Iteration","Continuity: Residual","X-momentum: Residual","Y-momentum: Residual"
1.0,0.30147417577550206,0.011847377378263826,0.09144348499288209
2.0,1.0,1.0,1.0
3.0,0.3208586448141431,0.747147955528107,0.5799759009148944
4.0,0.2796201672763592,0.5480096639434342,0.31233526920112337
5.0,0.22441416734853364,0.38079334466797615,0.20607602064712263
6.0,0.2108728178533215,0.26007961604421703,0.14966680457700005
7.0,0.20177252327763137,0.16977883071380623,0.11465829975570103
8.0,0.18217415244698237,0.12147043263956436,0.09188451099166542
9.0,0.14483542535067506,0.10209167423452684,0.07505507232278606
10.0,0.1051263118457574,0.08979097110852735,0.06316193303130502
11.0,0.07032463776926516,0.08152305007879865,0.05506972314826723
12.0,0.04485384607186686,0.07360876547191869,0.04931174458635483
13.0,0.029607851108217037,0.06525305177273744,0.044518241420578766
14.0,0.02199137065472831,0.05705907837064672,0.04048969213897316
15.0,0.018705972799296193,0.050453830137190195,0.036783723297195196
16.0,0.017318279315037013,0.04495374706185695,0.03356120939401759
17.0,0.01617952903292399,0.0404561753939218,0.030923670884865185
18.0,0.014734809860742734,0.03677408425151169,0.028794093580573055
19.0,0.01292051959758768,0.03357087422283752,0.02705249630067974
20.0,0.011191897473427274,0.03064727299899167,0.025626485700344794
21.0,0.009632606297281103,0.02802695889617205,0.024432225841745696
22.0,0.00834140923584171,0.025693972112270192,0.023387203047967643
23.0,0.007287415701313276,0.023572490013132812,0.022460163706765988
24.0,0.006494494095609652,0.02168289622450622,0.021603609949453886
25.0,0.006287070718449996,0.020002609750727648,0.02057674909461867
26.0,0.005205601858044979,0.018549152093561852,0.019882184214562535
27.0,0.004873697164767755,0.017146902696940497,0.019214483205138102
28.0,0.004628221362035396,0.01594389041930743,0.01847588644129987
29.0,0.004070657357509491,0.01496621297547855,0.017889729302175056
30.0,0.003761296516219792,0.01394242894005785,0.017339853417853705
31.0,0.0035269118139273042,0.013068233205425057,0.016795587960837067
32.0,0.0033478804274352804,0.012268201165745141,0.016265624993218444
33.0,0.003202405660779802,0.01152298398399392,0.0157478292323523
34.0,0.003131318092650202,0.010864067218821532,0.015216959915284923
35.0,0.0030332366520098267,0.010241529920399584,0.014709851197872405
36.0,0.00294004239316616,0.00963317387375963,0.014214011964521062
37.0,0.002847139611617469,0.009064825155406346,0.01372673757163134
38.0,0.002766989426576042,0.008539767344712136,0.013247672904366695
39.0,0.0026964160283143293,0.008050893519446371,0.012779717962186351
40.0,0.0026037937186727533,0.007601411795045618,0.012340759998212984
41.0,0.00255080564349199,0.007160094943743681,0.01190128988233645
42.0,0.0024947324490669546,0.006778147269781096,0.01147246700305652
43.0,0.002434534763364206,0.006412487375053866,0.011055742839726594
44.0,0.002350009526030808,0.006063237536420188,0.010648228719050103
45.0,0.002259089325739112,0.005725265206718085,0.010245454876678215
46.0,0.002153726474641901,0.005400220118618894,0.00985986921149429
47.0,0.002053474265566721,0.005081762568579867,0.00948851632387587
48.0,0.0019691597591729665,0.004778698113380665,0.00913100007264988
49.0,0.001893125627632315,0.00449258258218723,0.008787617411645307
50.0,0.0018268831317254962,0.004222101468031256,0.00845756623921659
51.0,0.0017653146336306046,0.003968018267095233,0.008139349797770491
52.0,0.001693383096337598,0.003727313492592933,0.007832310438090833
53.0,0.0016369519608375527,0.0035084010712232525,0.007537602404237556
54.0,0.001592934696704916,0.0033142028957672356,0.007253525835419745
55.0,0.0015581467441023165,0.0031289433476498975,0.0069820845219257036
56.0,0.0015162688924979318,0.0029404619955429516,0.006721080321750543
57.0,0.0014296182266080619,0.0027816617019264783,0.006469107140279853
58.0,0.0013457511941274505,0.002645884390915634,0.006227155567958574
59.0,0.001268442177430378,0.0025247428187027605,0.005995703032166175
60.0,0.001202805838846559,0.0024126442156489785,0.005775414893269625
61.0,0.0011477692298081865,0.002307653418533227,0.005565042176104861
62.0,0.0010979781654480724,0.0022132987745771904,0.005364121409407243
63.0,0.0010516193132810642,0.002127871256592528,0.005172469017876843
64.0,0.0010022849666632596,0.002051013307071012,0.004989844858716148
65.0,9.549052322371952E-4,0.0019836401131477304,0.004815347712812327
66.0,9.109556833351868E-4,0.001924974839566891,0.0046489724470662455
67.0,8.708694979216884E-4,0.0018706869902876775,0.004490380482359932
68.0,8.335632569399182E-4,0.0018190347412015723,0.00433945326495477
69.0,7.991968243796385E-4,0.0017703526761066726,0.004195800648936907
70.0,7.676190193787129E-4,0.001724737551045819,0.004059143141178918
71.0,7.380790447669628E-4,0.0016814852521913504,0.00392917721188588
72.0,7.10184153944774E-4,0.0016400241695683519,0.0038054353010355054
73.0,6.840573370964232E-4,0.0015989502324593797,0.0036873081516318935
74.0,6.603333102749924E-4,0.0015596267322096084,0.003574546356840724
75.0,6.373075734171723E-4,0.001523230422388272,0.003466592793869229
76.0,6.161946459972892E-4,0.0014886806805436653,0.0033630619257906213
77.0,5.964528284281194E-4,0.00145516779942732,0.0032637515977182448
78.0,5.777259549870909E-4,0.0014226832214724735,0.003168361062261902
79.0,5.600957133357895E-4,0.001391271018949422,0.0030765259644837764
80.0,5.452472776538843E-4,0.0013608581596853905,0.002987916638099631
81.0,5.30423038314231E-4,0.001333535158504109,0.002902488752396803
82.0,5.162064393439592E-4,0.0013075998183821856,0.0028198475386584337
83.0,5.025466475217939E-4,0.0012823243143078164,0.002739740099200176
84.0,4.903140052050879E-4,0.0012577279496728494,0.0026619765352000383
85.0,4.787366220218603E-4,0.0012338591495842618,0.0025864185973707514
86.0,4.6798164655765357E-4,0.0012107134419320513,0.0025129144764812865
87.0,4.55729236343488E-4,0.0011883375886987196,0.0024413084469295217
88.0,4.409247787955815E-4,0.0011665361674850431,0.002371492637591571
89.0,4.2598613302158403E-4,0.0011453082857471012,0.0023033651657980523
90.0,4.111835257641629E-4,0.0011239748391790713,0.0022368866352660104
91.0,3.9822146512291423E-4,0.0011027230789471044,0.0021720151352961287
