"Iteration","Pressure Drop 1 Monitor: Pressure Drop 1 Monitor (Pa)"
1.0,509.0837879105499
2.0,302.12313143482237
3.0,111.79652074596497
4.0,42.88374143585162
5.0,17.6969578704609
6.0,4.591492359238581
7.0,3.4710479058646015
8.0,2.5245812319053886
9.0,2.4527074182372495
10.0,5.491093200269743
11.0,10.048837706886472
12.0,12.164182566361736
13.0,12.387678829048019
14.0,12.725167939620986
15.0,12.941237975021227
16.0,13.023407346635613
17.0,12.943790548776127
18.0,12.664498403163718
19.0,11.135000418984463
20.0,10.870515993853354
21.0,10.390338537195733
22.0,10.22080848599199
23.0,10.107321147779837
24.0,10.020587514979022
25.0,9.951985263441763
26.0,9.862129028362492
27.0,9.823025006535183
28.0,9.791804248668576
29.0,9.761225686422426
30.0,9.746570923162727
31.0,9.747293709558196
32.0,9.767849577994639
33.0,9.802688263387685
34.0,9.851215344394095
35.0,9.892230497371308
36.0,9.975243168655785
37.0,10.0625509414212
38.0,10.154981023311588
39.0,10.242765875672148
40.0,10.300206030110472
41.0,10.35451520958616
42.0,10.418838816669977
43.0,10.479723918079857
44.0,10.525275300224948
45.0,10.572402508821112
46.0,10.614134492393859
47.0,10.660102410211675
48.0,10.70789511660741
49.0,10.759887360193648
50.0,10.818266729536225
51.0,10.901719745510638
52.0,10.957985974773523
53.0,11.015420243032557
54.0,11.12158714710825
55.0,11.174564588765964
56.0,11.219237794998962
57.0,11.312692260919134
58.0,11.356480444174544
59.0,11.449975500467788
60.0,11.487679673425763
61.0,11.565279558628683
62.0,11.59138152823957
63.0,11.651807096841582
64.0,11.668039272371987
65.0,11.690986371073713
66.0,11.71809763932096
67.0,11.73293279130777
68.0,11.757973307198544
69.0,11.772703932229232
70.0,11.788254821661234
71.0,11.792268767430322
72.0,11.81324900950912
73.0,11.814284795311968
74.0,11.81162446950691
75.0,11.80611709743268
76.0,11.791810013657644
77.0,11.774272171708528
78.0,11.757232773970387
79.0,11.740645460516424
80.0,11.722232117087454
81.0,11.705822268394789
82.0,11.687333990995405
83.0,11.667300438178444
84.0,11.646574536445039
85.0,11.625833270687577
86.0,11.605695713206117
87.0,11.586878756626371
88.0,11.569775618461072
89.0,11.554501959951216
90.0,11.541155168733212
91.0,11.529487736630633
92.0,11.517234264538887
93.0,11.507797832639524
94.0,11.499790422011833
95.0,11.492962622286896
96.0,11.486986592895104
97.0,11.480190030454779
98.0,11.473748359829841
99.0,11.470826287976015
100.0,11.465261188597843
101.0,11.459806323747278
102.0,11.454451865572759
103.0,11.449312079458458
104.0,11.446137996488169
105.0,11.44312506880603
106.0,11.44013390130134
107.0,11.43732471110071
108.0,11.434537103671607
109.0,11.431410883889527
110.0,11.428001957817255
111.0,11.424489482924267
112.0,11.421852822605262
113.0,11.4191294528676
114.0,11.416564198032356
115.0,11.414103847529942
116.0,11.411687872084219
117.0,11.409420855489914
