"Iteration","Pressure Drop 1 Monitor: Pressure Drop 1 Monitor (Pa)"
1.0,133.01233341039983
2.0,112.80143081393653
3.0,65.20448203607262
4.0,42.084629853270485
5.0,19.068629877211148
6.0,15.027760276014073
7.0,8.530004278722036
8.0,7.013713772952062
9.0,6.674259459187132
10.0,7.114040427944326
11.0,8.01854320529269
12.0,11.257097293092514
13.0,11.917420854892349
14.0,12.399275404273382
15.0,12.748377226175391
16.0,12.962434137268067
17.0,13.049000682690142
18.0,13.05112247592193
19.0,13.027780246827067
20.0,12.97849288722503
21.0,12.945260612419336
22.0,12.941418954238022
23.0,12.964141894324445
24.0,13.015805448428587
25.0,13.094192757915582
26.0,13.185174638373283
27.0,13.289749734086461
28.0,13.397765116717224
29.0,13.50242939832522
30.0,13.594902631313829
31.0,13.681525915685727
32.0,13.73770269181183
33.0,13.774613436147552
34.0,13.814289772371971
35.0,13.806738170917148
36.0,13.790208688378137
37.0,13.760465022862563
38.0,13.717744505278374
39.0,13.68232713216117
40.0,13.639348819662603
41.0,13.606264968632054
42.0,13.583987722603046
43.0,13.57085440881435
44.0,13.564884823235326
45.0,13.563103482922127
46.0,13.56366400465474
47.0,13.564007262404761
48.0,13.562882918421165
49.0,13.55938652424169
50.0,13.553104285205675
51.0,13.544365444935242
52.0,13.533683568156205
53.0,13.521671752124389
54.0,13.508926183052045
55.0,13.496149636851433
56.0,13.483428412445067
57.0,13.471094949777214
58.0,13.45931797686718
59.0,13.448090955233495
60.0,13.437304914888266
61.0,13.426807082706912
62.0,13.416415892607667
63.0,13.40596838604347
64.0,13.395318791457088
65.0,13.384372908120456
66.0,13.37311154409277
67.0,13.36161442325281
68.0,13.349981201681993
69.0,13.338333580329614
70.0,13.326785832335503
71.0,13.315423649446462
72.0,13.304295251929782
73.0,13.293418336841906
74.0,13.282794107021456
75.0,13.27241779426972
76.0,13.262291031115508
77.0,13.252431345321305
78.0,13.242861968530507
79.0,13.233597241588248
80.0,13.224657258611288
81.0,13.216068149132221
82.0,13.207850702551005
83.0,13.200019044468464
84.0,13.192580208769956
85.0,13.185532592441213
86.0,13.178324995612744
87.0,13.1714733184022
88.0,13.16508643365705
89.0,13.15931161011001
90.0,13.154091099769076
91.0,13.1493705501266
92.0,13.14508446141092
93.0,13.141162290302177
94.0,13.137532797360171
95.0,13.134131026429658
96.0,13.13090554848078
97.0,13.127826272296636
98.0,13.124883792632941
99.0,13.122073288155097
100.0,13.119401854859007
101.0,13.11688208120234
102.0,13.11452605829486
103.0,13.112343050768523
104.0,13.110339075559544
105.0,13.108514752881273
106.0,13.106865964560292
107.0,13.105384309796476
108.0,13.104058029386493
109.0,13.102871896709596
110.0,13.101809198336982
111.0,13.100853490099695
112.0,13.099989960833659
113.0,13.099206267367256
114.0,13.098492293219103
115.0,13.097839860559128
116.0,13.097242556184568
117.0,13.096695629665723
118.0,13.096196262171505
119.0,13.095742466332528
120.0,13.095332458600474
121.0,13.094965113615228
122.0,13.094639180143435
123.0,13.094352942337517
124.0,13.094104422058074
125.0,13.093891407866774
126.0,13.093711436201072
127.0,13.093561038588383
128.0,13.09343648420119
129.0,13.093334702279513
130.0,13.093253683856158
131.0,11.810629134033645
132.0,10.989416214349717
133.0,10.322688220139316
134.0,9.927151859266804
135.0,8.944568700275317
136.0,8.853300468290993
137.0,8.863057059739633
138.0,8.920163005019692
139.0,9.016769943266063
140.0,9.130573637392446
141.0,9.244190898743854
142.0,9.343223884590083
143.0,9.42050069317399
144.0,9.47269973057567
145.0,9.499785992646745
146.0,9.504279585229652
147.0,9.488809473709669
148.0,9.455896048126178
149.0,9.40825125295218
150.0,9.349316319389235
151.0,9.118510475791632
152.0,9.08838952659713
153.0,9.063348730635548
154.0,9.048740566325048
155.0,9.044300358789002
156.0,9.048234459375397
157.0,9.05762496575547
158.0,9.06937862979216
159.0,9.080631750420498
160.0,9.08994958144412
161.0,9.09630498225864
162.0,9.09932297483827
163.0,9.099189691211764
164.0,9.09620091947839
165.0,9.090547309026945
166.0,9.082680297875005
167.0,9.073217174488427
168.0,9.06312412830482
169.0,9.05288086259188
170.0,9.042834820746586
171.0,9.033547370142267
172.0,9.025101161459501
173.0,9.016877026358054
174.0,9.009760701310482
175.0,9.003682180496508
176.0,8.998403250125422
177.0,8.993779054260957
178.0,8.989734005384028
179.0,8.986196460238451
180.0,8.983049481674213
181.0,8.9802488639748
182.0,8.977846024084695
183.0,8.975832080177923
184.0,8.974140053539989
185.0,8.97256641011879
186.0,8.971066132356427
187.0,8.969513392945183
188.0,8.967857269811631
189.0,8.966121945417017
190.0,8.964198618015512
191.0,8.962043444849725
192.0,8.959682531885313
193.0,8.957099323905657
194.0,8.954270280561422
195.0,8.951155227252494
