"Iteration","Continuity: Residual","X-momentum: Residual","Y-momentum: Residual"
1.0,0.2968076513655196,0.01147728565757307,0.09033351531505894
2.0,0.9999999999999999,1.0,1.0
3.0,0.3379364632517849,0.7677210199910905,0.597129659587273
4.0,0.2847590452815077,0.5794515394387545,0.3364182361665644
5.0,0.23762692115398984,0.42968482056254753,0.22900373526130896
6.0,0.23510972554392792,0.3102235505611186,0.16988442169819395
7.0,0.23862098591770559,0.20844890732157068,0.1337783492535553
8.0,0.22805141925513725,0.15551822706839505,0.11254915581954758
9.0,0.16831831749025974,0.1227088969799516,0.09886181144562485
10.0,0.135250170088074,0.11712227325026725,0.08282282376458062
11.0,0.08660935272759254,0.10979866742553966,0.07166194059138827
12.0,0.05429779893261205,0.10306362925717891,0.06430132211980766
13.0,0.03687805700837273,0.093100846531425,0.05955617156854085
14.0,0.031030249699706206,0.08271160330043398,0.056022098335067244
15.0,0.02895007012769375,0.07338618294218545,0.05272300135298384
16.0,0.02823288560457514,0.06592615780748669,0.04934600527133699
17.0,0.027138996975164358,0.06033973801265426,0.04614377170884362
18.0,0.02561908873728244,0.05589372667878636,0.04347818603646573
19.0,0.023047016796879986,0.05197311961314932,0.0412337006718015
20.0,0.020815381254316274,0.048146069769825925,0.03956861206366997
21.0,0.01985422563451726,0.04442862821855579,0.038289134297351916
22.0,0.01951360687312328,0.04181885433427782,0.037044981921328095
23.0,0.018324653908457063,0.039016566392019274,0.035948835638226505
24.0,0.017578580020536572,0.03651508475343237,0.034907495861814734
25.0,0.01786574167561199,0.03418945913079985,0.03401705276012158
26.0,0.01712063640132208,0.03317217447116222,0.03284597009566841
27.0,0.015420123096495996,0.03122134628599211,0.03170147227838236
28.0,0.014652938440205513,0.0292960275807044,0.030693126751392963
29.0,0.013781806403035297,0.02749516606042066,0.02977504517779039
30.0,0.012501372996851381,0.02697668074997236,0.028745496231969273
31.0,0.011513060734603956,0.025515366484247733,0.027755969412171132
32.0,0.010493917020466903,0.023635031913913966,0.02667966916097499
33.0,0.009368935687288317,0.022143049426765492,0.02554591698993931
34.0,0.008625937489977658,0.021381910880843173,0.02448195852288089
35.0,0.007828990196318051,0.020228068404828926,0.02352854570664071
36.0,0.007247406003460591,0.019051812918832844,0.022711890394734594
37.0,0.0069543147026836696,0.01819835290763725,0.021770392368536905
38.0,0.006399744969850588,0.017457495059214026,0.02077444037936742
39.0,0.0061009705641486955,0.016619128924202736,0.019924969855750072
40.0,0.0060165082961233345,0.015909754020575036,0.019150359388731296
41.0,0.005939145095116718,0.01536947690011184,0.018386060905508907
42.0,0.005902174739160704,0.014785179127185735,0.017682794150885906
43.0,0.005938718505977434,0.014228665642573045,0.01704926451209753
44.0,0.005969890274592808,0.013773839825585684,0.01648422591810205
45.0,0.0058963338913729626,0.013357506627619836,0.015977979564164288
46.0,0.005814759160555641,0.01289908296716626,0.015535327386850024
47.0,0.005682318339163387,0.012450526788900894,0.01516803497657309
48.0,0.005466932735616645,0.012045646554005333,0.014859873881227493
49.0,0.005208701149593498,0.011670838656576192,0.01461935409794361
50.0,0.005006492340634097,0.011345902393363798,0.014447475319591953
51.0,0.004844823820669713,0.011077660347864875,0.014330930065280677
52.0,0.0048247256560339045,0.010872428757934883,0.014283169415737757
53.0,0.004813836945672317,0.010705026784234984,0.014304373786970057
54.0,0.0048327665354240285,0.010719628418020951,0.014381696568214412
55.0,0.00523812322173134,0.010576819132896022,0.014552388868222268
56.0,0.00565019077975687,0.010590953738193376,0.014760283593659254
57.0,0.005671291242237563,0.010982487456043839,0.015035937227501526
58.0,0.006009923980688391,0.011260804936880673,0.015447419121127369
59.0,0.006837686586058074,0.011526756709739695,0.01594736627818809
60.0,0.00717611398195918,0.012666959214334758,0.01642211403670924
61.0,0.007616856190758349,0.013535353710908717,0.016993306506827555
62.0,0.008219829572349546,0.013645975278605052,0.017569659219306293
63.0,0.008943888084309046,0.013105379002337679,0.01817756968734668
64.0,0.008696603844861787,0.014159893127919444,0.018407665243422685
65.0,0.009410532216493328,0.01569144962761262,0.018712604192032932
66.0,0.010990534000952209,0.01608834675719716,0.019317114152260697
67.0,0.010272453591039931,0.01620747043978927,0.01953500919902969
68.0,0.009876826282552119,0.017729671021674887,0.019535065309530565
69.0,0.010963005194066103,0.01697475624878214,0.01950133543935987
70.0,0.011792849640401615,0.01599748532548456,0.019550579949832
71.0,0.010344504166800682,0.017317803836114278,0.01925091079463305
72.0,0.009738810890653182,0.018064928693322407,0.018951265884448138
73.0,0.010636334909339365,0.016516907270479792,0.018577661977714658
74.0,0.01084728600180773,0.017087581928910217,0.018595808764039642
75.0,0.009280584714558556,0.01773155688583746,0.018012350960777922
76.0,0.008806044229807542,0.015666343638579012,0.01735221893298997
77.0,0.009677022675666743,0.01494342177513544,0.0169997989738678
78.0,0.00942172532255288,0.01578724623383235,0.01657464375790207
79.0,0.008459051543905397,0.016111183147696054,0.015896280456037158
80.0,0.007639287182067659,0.015586576579785833,0.015333284304716295
81.0,0.007826512618433814,0.014693257512677877,0.015059409211531252
82.0,0.00808298069195186,0.014166658155300285,0.014591397392049664
83.0,0.007898154363030388,0.013060294097747718,0.013856808693380044
84.0,0.006854159146657072,0.013634648430621482,0.01318704837789367
85.0,0.006520702439432868,0.013283729999033489,0.01284595573396216
86.0,0.0066114112676002685,0.013035386713913355,0.012387381709696051
87.0,0.006805378553161673,0.012798056682507577,0.011885682807161468
88.0,0.005908884607309668,0.011723005815854018,0.011395707935838214
89.0,0.005183637571120006,0.01150939613415093,0.010852641696978301
