"Iteration","Pressure Drop 1 Monitor: Pressure Drop 1 Monitor (Pa)"
1.0,223.96845029177803
2.0,153.53026529700927
3.0,86.39339369945864
4.0,49.3253368423373
5.0,34.58858194716243
6.0,24.307520184959564
7.0,18.233685023005883
8.0,15.951994070207668
9.0,14.152755714053916
10.0,13.111639766138572
11.0,12.64810059847106
12.0,12.518855498952998
13.0,12.632267962274863
14.0,12.942373866668916
15.0,13.32109498448438
16.0,13.721383704579315
17.0,14.091454887476704
18.0,14.388898201282899
19.0,14.626280732006583
20.0,14.782414562996765
21.0,14.861695201625365
22.0,14.879383717617314
23.0,14.84167696611992
24.0,14.51570576015591
25.0,14.449094151392725
26.0,14.371239736776145
27.0,14.187832157830629
28.0,14.153231829256686
29.0,14.142721765769636
30.0,14.140744742088023
31.0,14.144516685159388
32.0,14.148818648926865
33.0,14.157907943586098
34.0,14.154510732883605
35.0,14.144200984507329
36.0,14.128448083458439
37.0,14.109516226204915
38.0,14.08872891431288
39.0,14.070999490855112
40.0,14.055009072457475
41.0,14.039020286033418
42.0,14.02211690358706
43.0,14.003642368787547
44.0,13.983869691169897
45.0,13.962749553404285
46.0,13.94046761272889
47.0,13.917470616995356
48.0,13.894268283488218
49.0,13.871274849633535
50.0,13.848733597482282
51.0,13.826762067630252
52.0,13.805356916715402
53.0,13.783574736902803
54.0,13.762533226867639
55.0,13.742064410081372
56.0,13.722034757498848
57.0,13.702353761561158
58.0,13.682959241668756
59.0,13.663785518216375
60.0,13.644656523310296
61.0,13.625543543338345
62.0,13.60647321963887
63.0,13.587470798172157
64.0,13.568575631834937
65.0,13.549834751930353
66.0,13.531291978416847
67.0,13.513027727627334
68.0,13.495111950535403
69.0,13.477596016070013
70.0,13.46045258667582
71.0,13.443685779955256
72.0,13.427256210990517
73.0,13.411230300154719
74.0,13.395605547100441
75.0,13.38035190037199
76.0,13.36544501102086
77.0,13.350866802853362
78.0,13.336600839742186
79.0,13.322637056239344
80.0,13.308953115866412
81.0,13.295534988347972
82.0,13.282371114723416
83.0,13.269455285571908
84.0,13.25678652928051
85.0,13.244367210648036
86.0,13.232200889680229
87.0,13.220291516951956
88.0,13.208634442732068
89.0,13.197234519229905
90.0,13.186100795838119
91.0,13.175236280483409
92.0,13.16463464173177
93.0,13.154293091582428
94.0,13.144209097186442
95.0,13.134379867188823
96.0,13.124800112013617
97.0,13.115462743074094
98.0,13.10636205637591
99.0,13.097493815273213
100.0,13.08885274969682
101.0,13.0804344533979
102.0,13.072235379915817
103.0,13.064252406625297
104.0,13.056483313404422
105.0,13.048926656959424
106.0,13.04157963303124
107.0,13.03443928026383
108.0,13.027502613874452
109.0,13.020765342546527
110.0,13.014224342004916
111.0,13.007877936689585
112.0,13.001722730639703
113.0,12.995756038127148
114.0,12.989976380324975
115.0,12.984382233693772
116.0,12.97897132050753
117.0,12.973741404393307
118.0,12.96868974330384
119.0,12.963812830337933
120.0,12.959107427960886
121.0,12.954570024730362
122.0,12.950197473266199
123.0,12.945986699759015
124.0,12.941934464584245
125.0,12.938037404587412
126.0,12.934291827226604
127.0,12.930693509759392
128.0,12.927238467047923
129.0,12.923922745688845
130.0,12.920742163358794
131.0,12.917692733647032
132.0,12.914770844434583
133.0,12.911973018877301
134.0,12.909295175371124
135.0,12.9067332476487
136.0,12.904283224404722
137.0,12.901941314778696
138.0,12.899703807447453
139.0,12.89756711786984
140.0,12.89552776609807
141.0,12.893582345875265
142.0,12.891727466881601
143.0,12.889959725532345
144.0,12.88827576227948
145.0,12.88667232662821
146.0,12.885146261343392
147.0,12.88369440913317
148.0,12.882313663674811
149.0,12.881000903881427
150.0,12.879753075588196
151.0,12.878567226094459
152.0,12.877440764407822
153.0,12.876370983996681
154.0,12.875355206963636
155.0,12.87439100118449
156.0,12.87347610110296
157.0,12.872608218663945
158.0,12.871785143362112
159.0,12.871004802959625
160.0,12.870265198521068
161.0,12.869564382428935
162.0,12.868900459637304
163.0,12.868271618424407
