"Iteration","Continuity: Residual","X-momentum: Residual","Y-momentum: Residual"
1.0,0.40540114734152116,0.0038126168505939143,0.02074259169123557
2.0,0.9999999999999999,0.9999999999999999,0.9999999999999999
3.0,0.4187256387156836,0.37646649442126434,0.37710998700683057
4.0,0.4329682642397037,0.23384656457471334,0.23180401441746407
5.0,0.4084300244773919,0.1805639413283154,0.1889581069474082
6.0,0.3333983102200984,0.13624090169471317,0.1534562388703382
7.0,0.26829040420385925,0.11003121174424027,0.12253941778447913
8.0,0.21231104750108118,0.08645924854722897,0.09688119473374115
9.0,0.1705160308363249,0.07197114914408358,0.07571274009042032
10.0,0.13039660987615553,0.05741153397965111,0.060069587055462566
11.0,0.10349543938747616,0.04501634410727678,0.04679843958298696
12.0,0.08489715367553696,0.03846542805547774,0.03799530294383962
13.0,0.07083150963106649,0.0343597667903064,0.03214950274183872
14.0,0.06073947699955017,0.02969979159967874,0.0264095673616916
15.0,0.05114137220748578,0.025448710229373932,0.022085876213317694
16.0,0.044179433261560624,0.02140613328007311,0.019045294833812502
17.0,0.037636217163695175,0.01850216485407462,0.01627390875168162
18.0,0.0313712974411532,0.015579063495503273,0.014122880405380154
19.0,0.0256360962244478,0.013455304083793772,0.012476492450586239
20.0,0.02169675997294232,0.011149533421739351,0.010904439005610047
21.0,0.01834317198613297,0.009512910036908262,0.00971286788936472
22.0,0.015823830782653328,0.008056241748306806,0.008571426199909658
23.0,0.01320425501505005,0.006884640255216471,0.0076308028803983114
24.0,0.011189325426112857,0.005911423817558252,0.006768137453804807
25.0,0.009695075703957997,0.005070708615101375,0.006059780144555788
26.0,0.00822390608513267,0.004402861684420368,0.005448125579046049
27.0,0.007052194333931672,0.0038768368686498958,0.004891416975293016
28.0,0.006002576651376624,0.0035347192181003893,0.004349043793378457
29.0,0.005239306273598045,0.003199229880354198,0.003856295156325904
30.0,0.004604798372746865,0.002884130729345064,0.0034243377953245956
31.0,0.004064251658559292,0.0025731520796405324,0.00304163604555716
32.0,0.0036207751511084484,0.0022806811642272257,0.002699543380489238
33.0,0.0032297538573624264,0.002004566724452196,0.0023936212842003393
34.0,0.0028503967332018333,0.001751392899491992,0.00211720059409129
35.0,0.0025842398849382697,0.0014928927105329266,0.0018654206845366292
36.0,0.0022885497302595633,0.0013043736222263006,0.0016289878653492056
37.0,0.0020603026561387457,0.001134270368558925,0.001413677327993633
38.0,0.0018673288764627064,9.79220178587891E-4,0.0012218727739399524
39.0,0.0016933555617516343,8.247529177614196E-4,0.0010654332390116431
40.0,0.0015209320295218975,6.952044814184403E-4,9.103619195861185E-4
41.0,0.0013487496935511661,5.770802390007754E-4,7.868576571931699E-4
42.0,0.0011959424291832924,4.851585201728945E-4,6.674863850883491E-4
43.0,0.0010606134708767846,4.1358729722241973E-4,5.648586537824776E-4
44.0,9.438422979782469E-4,3.547676681027066E-4,4.7625662246059575E-4
45.0,8.458720908139322E-4,3.039435247409327E-4,4.007182900373109E-4
46.0,7.612544564166737E-4,2.6191328709885604E-4,3.3782091817014816E-4
47.0,6.828614929543314E-4,2.2768103001404255E-4,2.8627273497943025E-4
48.0,6.086087118996082E-4,1.984051235008502E-4,2.44047292992706E-4
49.0,5.45925826302931E-4,1.7499423095953818E-4,2.095156039000799E-4
50.0,4.878658381415096E-4,1.5417554768653905E-4,1.809999684919418E-4
51.0,4.354170101447703E-4,1.3630848174278216E-4,1.574758173416945E-4
52.0,3.8806540829038836E-4,1.221857118407508E-4,1.3784681597629666E-4
53.0,3.4846210076473554E-4,1.104440336125129E-4,1.2152682240024728E-4
54.0,3.093059571499807E-4,1.0021361476940484E-4,1.0797363720066074E-4
55.0,2.718732079930162E-4,9.04034661900437E-5,9.669749398486861E-5
56.0,2.390377045778588E-4,8.135672090829482E-5,8.7117291273051E-5
57.0,2.098506761476742E-4,7.345947798796068E-5,7.886943523793642E-5
58.0,1.836828429183904E-4,6.647542064488041E-5,7.16853106761143E-5
59.0,1.6074869808750672E-4,6.007379901319007E-5,6.531089360510644E-5
60.0,1.406608930304362E-4,5.446889794565146E-5,5.945719685731064E-5
61.0,1.2334856363977752E-4,4.941602485478795E-5,5.4066441658825154E-5
62.0,1.0302044737471765E-4,4.604780128856131E-5,4.956325730184824E-5
63.0,9.352758997001227E-5,4.0138859289194915E-5,4.467183533993219E-5
